timestamp,nickname,game_result,human_score,robot_score
2025-07-31 15:38:51,GIMkANGMIN,AI_WIN,0,1
2025-07-31 15:45:29,KIMGANGMIN,AI_WIN,0,1
2025-07-31 15:59:44,DOHYEJJANG,AI_WIN,0,1
2025-07-31 16:15:04,SIMGLY,HUMAN_WIN,1,0
2025-07-31 16:27:50,YEJIN,HUMAN_WIN,1,0
2025-07-31 16:40:10,YOON,AI_WIN,0,1
2025-07-31 16:40:36,YOON,HUMAN_WIN,1,1
2025-07-31 16:57:14,HYUNJUN,HUMAN_WIN,1,0
2025-08-01 10:08:30,tomato,AI_WIN,0,1
2025-08-01 10:19:05,je,AI_WIN,0,1
2025-08-01 10:26:25,semijkjk,AI_WIN,0,1
2025-08-01 10:33:00,3nano,AI_WIN,0,1
2025-08-01 10:42:11,kmj,HUMAN_WIN,1,0
2025-08-01 10:52:04,goat,HUMAN_WIN,1,0
2025-08-01 11:01:11,staff,HUMAN_WIN,1,0
2025-08-01 11:12:16,staff,HUMAN_WIN,1,0
2025-08-01 11:28:49,jeong,HUMAN_WIN,1,0
2025-08-01 11:37:16,smilehong,HUMAN_WIN,1,0
2025-08-01 11:54:12,CHAE,HUMAN_WIN,1,0
2025-08-01 12:05:46,sh,HUMAN_WIN,1,0
2025-08-01 21:33:13,alphaca,AI_WIN,0,1
2025-08-04 02:27:35,ooo,AI_WIN,0,1
2025-08-04 15:15:38,hihi,AI_WIN,0,1
2025-08-04 18:30:08,dg,HUMAN_WIN,1,0
2025-08-08 11:51:22,hihi,AI_WIN,0,1
2025-08-08 11:52:15,hiih,AI_WIN,0,1
2025-08-08 11:52:31,hiih,AI_WIN,0,2
2025-08-08 11:52:45,hiih,HUMAN_WIN,1,2
2025-08-08 11:53:08,hiih,HUMAN_WIN,2,2
2025-08-08 11:53:25,hiih,HUMAN_WIN,3,2
2025-08-08 11:53:41,hiih,AI_WIN,3,3
2025-08-08 11:53:58,hiih,AI_WIN,3,4
2025-08-08 11:54:17,hiih,HUMAN_WIN,4,4
2025-08-08 11:54:36,hiih,HUMAN_WIN,5,4
2025-08-08 11:55:04,hiih,AI_WIN,5,5
2025-08-08 11:55:31,hiih,HUMAN_WIN,6,5
2025-08-18 11:35:59,dd,AI_WIN,0,1
2025-08-18 12:15:08,sk,HUMAN_WIN,1,0
2025-08-18 12:20:08,dd,AI_WIN,0,1
2025-08-18 12:21:56,dk,AI_WIN,0,1
2025-08-18 12:22:18,dk,HUMAN_WIN,1,1
2025-08-18 12:25:00,ddd,AI_WIN,0,1
2025-08-18 12:28:54,dd,AI_WIN,0,1
2025-08-18 12:44:00,dd,AI_WIN,0,1
