Stage,Model A Entropy,Model B Entropy,Round 1 Win Rate (A Black),Round 2 Win Rate (B Black)
125,0.15000,0.10000,0.0100,1.0000
126,0.15000,0.10000,0.0200,1.0000
127,0.15000,0.10000,0.0100,1.0000
128,0.15000,0.10000,0.0100,0.9900
129,0.15000,0.10000,0.0000,1.0000
130,0.15000,0.10000,0.0100,0.9900
131,0.15000,0.10000,0.0000,0.9900
132,0.15000,0.10000,0.0600,1.0000
133,0.15000,0.10000,0.3200,0.9600
134,0.15000,0.10000,0.7700,0.9200
135,0.15000,0.10000,0.9900,0.9500
136,0.15000,0.20000,0.9800,0.9800
137,0.15000,0.20000,0.9500,0.9800
138,0.25000,0.20000,0.9300,0.9600
139,0.25000,0.20000,0.9600,0.9700
140,0.25000,0.20000,0.9800,0.9700
141,0.25000,0.30000,0.8700,0.9500
142,0.35000,0.30000,0.9800,0.9500
143,0.35000,0.40000,0.9100,0.9600
144,0.45000,0.40000,0.9700,0.9600
145,0.45000,0.50000,0.9600,0.9600
146,0.45000,0.50000,0.9700,0.6700
147,0.45000,0.50000,0.9600,0.9400
148,0.45000,0.50000,0.9400,0.6900
149,0.45000,0.50000,0.8900,0.8000
150,0.45000,0.50000,0.9500,0.8900
151,0.45000,0.50000,0.9400,0.8000
152,0.45000,0.50000,1.0000,0.0200
153,0.45000,0.50000,0.9800,0.0900
154,0.45000,0.50000,0.9900,0.0100
155,0.45000,0.50000,0.9900,0.0900
156,0.45000,0.50000,0.9900,0.0000
157,0.45000,0.50000,1.0000,0.0100
158,0.45000,0.50000,1.0000,0.0100
159,0.45000,0.50000,1.0000,0.0000
160,0.45000,0.50000,0.9900,0.0000
161,0.45000,0.50000,1.0000,0.0000
162,0.45000,0.50000,1.0000,0.0000
163,0.45000,0.50000,1.0000,0.0200
164,0.45000,0.50000,1.0000,0.0000
165,0.45000,0.50000,1.0000,0.0000
166,0.45000,0.50000,1.0000,0.0100
167,0.45000,0.50000,0.9900,0.0600
